title,author,runtime
Broken Interface - Kernel,Alex Kozlowski,Length: 22 hrs and 39 mins
Snow Leopard,Category Pirates,Length: 7 hrs and 26 mins
The Light We Carry,Michelle Obama,Length: 9 hrs and 59 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 44 mins
Stop Overthinking Your Relationship,Alicia Muñoz LPC,Length: 7 hrs and 22 mins
The Serpent and the Wings of Night,Carissa Broadbent,Length: 14 hrs and 50 mins
The Answer to Anxiety,Joyce Meyer,Length: 3 hrs
All Hallows,Christopher Golden,Length: 10 hrs and 46 mins
He Who Fights with Monsters 9,Shirtaloon,Length: 30 hrs and 20 mins
Deadly Force,Massad Ayoob,Length: 10 hrs and 4 mins
Bastard,Alexey Osadchuk,Length: 9 hrs and 37 mins
The Urgent Life,Bozoma Saint John,Length: 7 hrs and 56 mins
"I, Human",Tomas Chamorro-Premuzic,Length: 4 hrs and 56 mins
Wanderlust,Reid Mitenbuler,Length: 19 hrs and 13 mins
Ravaged Throne,Nicole Fox,Length: 9 hrs and 53 mins
A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
The Handmaid's Tale,Margaret Atwood,Length: 11 hrs and 1 min
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Dark Matter,Blake Crouch,Length: 10 hrs and 8 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
A Vow of Lust and Fury,LP Lovell,Length: 8 hrs and 1 min
Empath And Narcissist,Lisa Kennedy,Length: 20 hrs and 32 mins
Irish Knit Murder,Peggy Ehrhart,Length: 9 hrs and 18 mins
Confederacy of Fear,Blaine Pardoe,Length: 15 hrs and 15 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
"Boundaries, Updated and Expanded Edition",John Townsend,Length: 11 hrs and 18 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
Real-Time Leadership,David Noble,Length: 9 hrs and 49 mins
Quantum Radio,A.G. Riddle,Length: 14 hrs and 59 mins
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Rogue,Elle Kennedy,Length: 12 hrs and 16 mins
Icebreaker,Hannah Grace,Length: 13 hrs and 23 mins
You've Lost a Lot of Blood,Eric LaRocca,Length: 4 hrs
The Guest Lecture,Martin Riker,Length: 5 hrs and 49 mins
Facets of Revolution,T. A. White,Length: 20 hrs and 21 mins
Dungeons & Dragons: Honor Among Thieves: The Road to Neverwinter,Jaleigh Johnson,Length: 9 hrs and 18 mins
"A sus órdenes, mi general [At Your Command, My General]",J. Jesús Esquivel,Length: 4 hrs and 45 mins
The Cloud Revolution,Mark P. Mills,Length: 17 hrs and 15 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Your Weight Is Not the Problem,Lyndi Cohen,Length: 9 hrs and 37 mins
Luke,Adam Hamilton,Length: 5 hrs and 39 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
Aprende Inglés Mientras Duermes [Learn English While You Sleep],Sleeping Learning Audio,Length: 25 hrs and 55 mins
The Cabinet of Dr. Leng,Douglas Preston,Length: 14 hrs and 24 mins
While Time Remains,Yeonmi Park,Length: 6 hrs and 28 mins
Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins
Walk the Blue Line,James Patterson,Length: 8 hrs and 17 mins
The Lost Hero,Rick Riordan,Length: 16 hrs and 33 mins
The Levee,William Kent Krueger,Length: 3 hrs and 36 mins
Certified Information Security Manager CISM Study Guide,Mike Chapple PhD CISM,Length: 19 hrs and 21 mins
Dead Fall,Brad Thor,Length: 10 hrs and 30 mins
The Numbers,Nick Pirog,Length: 9 hrs and 32 mins
Murder Your Employer,Rupert Holmes,Length: 14 hrs and 13 mins
The Obstacle Is the Way,Ryan Holiday,Length: 4 hrs and 38 mins
Into the Headwinds,Terryl Givens,Length: 3 hrs and 41 mins
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins
From Hoping to Having,Julie Poole,Length: 8 hrs and 47 mins
Dragon's Mage,James Haddock,Length: 6 hrs and 22 mins
Death's Cathedral,Ian Fortey,Length: 7 hrs and 26 mins
A Sinister Revenge,Deanna Raybourn,Length: 12 hrs and 3 mins
No Deal,J.D. Allen,Length: 7 hrs and 2 mins
All of Me: The Complete Series,Siobhan Davis,Length: 36 hrs and 17 mins
Urchin,Mark Goodwin,Length: 8 hrs and 14 mins
I Am Debra Lee,Debra Lee,Length: 9 hrs and 8 mins
In a Jam,Kate Canterbary,Length: 15 hrs and 54 mins
The Emotional Lives of Teenagers,Lisa Damour Ph.D.,Length: 6 hrs and 15 mins
In the Frame,Matthew Costello,Length: 3 hrs and 10 mins
A Score to Settle,Matthew Costello,Length: 3 hrs and 18 mins
Dempsey,Brian Andrews,Length: 12 hrs and 14 mins
Luca,Grey Huffington,Length: 10 hrs and 39 mins
Murder Book,Thomas Perry,Length: 11 hrs and 35 mins
Paris,Paris Hilton,Length: 8 hrs and 22 mins
The Doctor's Wife,Daniel Hurst,Length: 7 hrs and 20 mins
The Silence of Unworthy Gods,Andrew Rowe,Length: 20 hrs and 43 mins
The Art of Embodiment for Men,GS Youngblood,Length: 5 hrs and 50 mins
The Whole-Brain Child,Daniel J. Siegel,Length: 6 hrs and 14 mins
We Are Electric,Sally Adee,Length: 10 hrs and 22 mins
Extreme Ownership,Jocko Willink,Length: 9 hrs and 33 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
Brutal Billionaire,Laurelin Paige,Length: 13 hrs and 9 mins
Rowan,Robin D. Mahle,Length: 32 hrs and 40 mins
The Essays of Warren Buffett,Lawrence A. Cunningham,Length: 15 hrs and 32 mins
How Far Do You Want to Go?,John Catsimatidis,Length: 8 hrs and 7 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
